,date,quality,temperature,enterococci,ecoli,blue_green_algae,other_observations
0,2022-06-03,0,12.1,800.0,920.0,0,0
1,2022-06-07,1,15.8,130.0,91.0,0,0
2,2022-06-21,0,16.3,800.0,160.0,0,0
3,2022-06-27,1,23.2,350.0,48.0,0,0
4,2022-06-30,1,22.6,280.0,38.0,0,0
5,2022-07-11,0,21.6,500.0,980.0,1,0
6,2022-07-15,0,18.6,660.0,440.0,0,0
7,2022-07-21,1,18.1,280.0,56.0,0,0
8,2022-08-10,1,19.8,90.0,190.0,1,0
