,date,quality,temperature,enterococci,ecoli,blue_green_algae,other_observations
0,2022-06-03,0,12.0,800.0,550.0,0,0
1,2022-06-07,1,15.4,170.0,93.0,0,0
2,2022-06-21,0,17.0,800.0,170.0,0,0
3,2022-06-27,1,23.2,370.0,980.0,0,0
4,2022-06-30,1,23.0,230.0,30.0,0,0
5,2022-07-11,1,21.8,180.0,50.0,1,0
6,2022-08-10,1,20.2,130.0,160.0,1,0
