,date,quality,temperature,enterococci,ecoli,blue_green_algae,other_observations
0,2021-06-01,1,13.9,32.0,36.0,0,0
1,2021-06-21,0,21.0,640.0,240.0,0,0
2,2021-06-24,0,20.1,800.0,2400.0,0,0
3,2021-06-30,1,23.2,200.0,72.0,0,0
4,2021-07-13,1,23.2,21.0,9.0,0,0
5,2021-07-30,1,22.0,170.0,310.0,0,0
6,2021-08-11,1,18.0,120.0,130.0,0,0
7,2021-08-18,0,19.9,820.0,770.0,0,0
8,2021-08-20,0,15.8,800.0,920.0,0,0
9,2021-08-26,0,14.5,800.0,2400.0,0,0
10,2021-09-02,1,15.0,90.0,77.0,0,0
