,date,quality,temperature,enterococci,ecoli,blue_green_algae,other_observations
0,2023-06-01,1,14.4,15.0,7.0,0,0
1,2023-06-19,1,21.1,80.0,16.0,0,0
2,2023-07-10,0,18.1,800.0,290.0,0,0
3,2023-07-13,1,19.6,51.0,59.0,0,0
4,2023-08-08,1,20.4,130.0,84.0,0,0
